cid,blend,nco_oh,mdi_fraction,property_score,robust_score,state_score,state_robust_score,state_nominal_rank,state_robust_rank
WO_INV_0372,PPG1000:20+PPG700:80,1.8,0.3769043361227249,0.0117306236956909,0.0468483876809174,0.2394280451292759,3.7608461653557788,24.0,26.0
WO_INV_0407,PPG1000:40+PPG700:60,2.1,0.3978297785217926,0.0138398882089112,0.0464826409137846,0.4349555338872205,3.7718854560789112,46.0,27.0
WO_INV_0423,PPG1000:50+PPG700:50,2.1,0.3895506329596874,0.0087539506859667,0.0383990596687099,0.37455259180435513,3.8238923969513143,39.0,28.0
WO_INV_0643,PPG2000:10+PPG700:90,1.7,0.3623450398813324,0.0048612127631881,0.0370369829552689,0.09974046745350032,3.8246401513299118,8.0,29.0
WO_INV_0358,PPG1000:10+PPG700:90,2.0,0.4095243718815505,0.0304908072442125,0.0718220644229108,0.6359548665425516,3.857345740761442,66.0,30.0
WO_INV_0579,PPG2000:60+PPG400:40,1.7,0.3561067639374715,0.000416022035072,0.0249361457691009,0.048219650631743535,3.8692948467138573,2.0,31.0
WO_INV_0646,PPG2000:10+PPG700:90,2.0,0.4006682548957911,0.0168953844121702,0.0543518389219237,0.4162396542810438,3.8901731230054626,42.0,32.0
WO_INV_0342,PPG1000:90+PPG400:10,2.0,0.3653110769084302,0.0017882196957795,0.026053739762955,0.20441705530606757,3.9303021054071765,19.0,33.0
WO_INV_0327,PPG1000:80+PPG400:20,2.1,0.4058873592138702,0.0187906125831165,0.0549304540712074,0.5246825405405495,3.9463906290440196,52.0,34.0
WO_INV_0661,PPG2000:20+PPG700:80,1.9,0.3714437465724041,0.0024194398054454,0.0296791874679199,0.16419926859531886,3.9636952010098803,16.0,35.0
WO_INV_0454,PPG1000:70+PPG700:30,2.0,0.3609611144838163,0.0014193061631902,0.024571588698084,0.21749853504553854,3.974912744534392,22.0,36.0
WO_INV_0439,PPG1000:60+PPG700:40,2.1,0.381040656344488,0.005124505722782,0.0327210093809539,0.3478980096508658,4.03464632060393,36.0,37.0
WO_INV_0357,PPG1000:10+PPG700:90,1.9,0.3971809165562754,0.0239880868042532,0.0651703514832522,0.489969585751966,4.074461521958662,50.0,38.0
WO_INV_0371,PPG1000:20+PPG700:80,1.7,0.3635782178280834,0.0080576303969144,0.0427539129299722,0.18605257825826724,4.086796156842597,17.0,39.0
WO_INV_0392,PPG1000:30+PPG700:70,2.2,0.417152615673349,0.0268137328425626,0.0648114022786835,0.747697384517242,4.1300349422458815,74.0,40.0
