scale,winner,n_admissible,winner_score
0.8175,WO_INV_0420,131,0.015706844518330786
0.8200000000000001,WO_INV_0420,131,0.015784567308334153
0.8225,WO_INV_0420,131,0.01586248670633751
0.8250000000000001,WO_INV_0420,131,0.01594060271234088
0.8275,WO_INV_0420,130,0.016018915326344238
0.8300000000000001,WO_INV_0420,128,0.016097424548347606
0.8325,WO_INV_0420,128,0.016176130378350966
0.835,WO_INV_0420,128,0.01625503281635433
0.8375,WO_INV_0420,128,0.016334131862357694
0.84,WO_INV_0420,128,0.016413427516361056
0.8425,WO_INV_0420,128,0.016492919778364423
0.845,WO_INV_0420,128,0.016572608648367782
0.8475,WO_INV_0420,128,0.01665249412637115
0.85,WO_INV_0420,128,0.016732576212374513
0.8525,WO_INV_0420,127,0.016812854906377878
0.855,WO_INV_0420,127,0.016893330208381237
0.8575,WO_INV_0420,127,0.016974002118384603
0.86,WO_INV_0420,127,0.017054870636387966
0.8625,WO_INV_0420,126,0.017135935762391332
0.865,WO_INV_0420,126,0.017217197496394693
0.8675,WO_INV_0420,126,0.01729865583839806
0.87,WO_INV_0420,126,0.01738031078840142
0.8725,WO_INV_0420,126,0.017462162346404783
0.875,WO_INV_0420,126,0.017544210512408148
0.8775000000000001,WO_INV_0420,126,0.017626455286411515
0.88,WO_INV_0420,126,0.017708896668414877
0.8825000000000001,WO_INV_0420,126,0.01779153465841824
0.885,WO_INV_0420,126,0.0178743692564216
0.8875000000000001,WO_INV_0420,126,0.017957400462424968
0.89,WO_INV_0420,126,0.018040628276428328
0.8925000000000001,WO_INV_0420,126,0.018124052698431696
0.895,WO_INV_0420,126,0.018207673728435056
0.8975,WO_INV_0420,126,0.018291491366438418
0.9,WO_INV_0420,125,0.018375505612441785
0.9025,WO_INV_0420,124,0.018459716466445147
0.905,WO_INV_0420,123,0.01854412392844851
0.9075,WO_INV_0420,123,0.018628727998451874
0.91,WO_INV_0420,122,0.01871352867645524
0.9125,WO_INV_0420,122,0.018798525962458602
0.915,WO_INV_0420,122,0.018883719856461968
0.9175,WO_INV_0420,122,0.018969110358465328
0.92,WO_INV_0420,122,0.019054697468468697
0.9225,WO_INV_0420,122,0.019140481186472057
0.925,WO_INV_0420,121,0.019226461512475423
0.9275,WO_INV_0420,121,0.019312638446478785
0.93,WO_INV_0420,121,0.01939901198848215
0.9325,WO_INV_0420,121,0.019485582138485513
0.935,WO_INV_0420,121,0.019572348896488876
0.9375,WO_INV_0420,121,0.019659312262492238
0.9400000000000001,WO_INV_0420,120,0.019746472236495602
0.9425,WO_INV_0420,120,0.019833828818498968
0.9450000000000001,WO_INV_0420,120,0.019921382008502332
0.9475,WO_INV_0420,120,0.020009131806505695
0.9500000000000001,WO_INV_0420,120,0.02009707821250906
0.9525,WO_INV_0420,120,0.02018522122651242
0.9550000000000001,WO_INV_0420,120,0.020273560848515785
0.9575,WO_INV_0420,120,0.02036209707851915
0.96,WO_INV_0420,120,0.020450829916522507
