cid,blend,nco_oh,mdi_fraction,eta80,eta120,ratio,unc_radius,domain_ratio,pareto5,property_score,robust_score
WO_INV_0437,PPG1000:60+PPG700:40,1.9,0.3577330545894789,3.4185155367,0.4024606876,8.4940359199,0.0503646908,0.511396587,True,0.0008954815747787,0.0227505872618181
WO_INV_0420,PPG1000:50+PPG700:50,1.8,0.3535771424877584,3.3375893216,0.403507719,8.2714385985,0.0512,0.5375,True,0.0008351860112308,0.0218972940125763
WO_INV_0387,PPG1000:30+PPG700:70,1.7,0.3561067639374715,3.1020892416,0.3904271818,7.9453721104,0.0536719292,0.6147477878,False,0.0039044570747001,0.0328275677785155
WO_INV_0681,PPG2000:30+PPG700:70,2.3,0.398283151401737,3.3864945217,0.36105212,9.3795170674,0.050254832,0.5079635,False,0.0087377881856026,0.044319462357792
WO_INV_0645,PPG2000:10+PPG700:90,1.9,0.3884161430616958,2.913584043,0.3548635907,8.2104338669,0.0536978506,0.6155578301,False,0.0119502168780373,0.0464826673372802
WO_INV_0454,PPG1000:70+PPG700:30,2.0,0.3609611144838163,3.5028896869,0.4017073002,8.7200050514,0.0495504307,0.4859509604,True,0.0014193061631902,0.024571588698084
WO_INV_0680,PPG2000:30+PPG700:70,2.2,0.3876798116503101,3.476184068,0.3757869365,9.2504122151,0.048854832,0.4642135,True,0.0057743935246414,0.0359715180127044
WO_INV_0355,PPG1000:10+PPG700:90,1.7,0.3708782696635928,2.806126626,0.3634199708,7.7214430997,0.0546753893,0.6461059162,False,0.0137839769347382,0.0544585022052894
WO_INV_0052,PPG700:100,1.8,0.3915424399148159,2.5888942856,0.3363999373,7.695882189,0.0530340721,0.5948147528,False,0.0272446618012431,0.073751910698072
WO_INV_0582,PPG2000:60+PPG400:40,2.0,0.3941780510707903,3.1830348206,0.3634290131,8.7583398839,0.0525919292,0.5809977878,False,0.0069659618693382,0.0412102168084004
WO_INV_0348,PPG1000:90+PPG400:10,2.6,0.4279986100366224,2.9198454221,0.3100122442,9.4184841945,0.052774832,0.5867135,False,0.0282620997782168,0.0805888848224861
WO_INV_0489,PPG1000:90+PPG700:10,2.3,0.375094712207681,3.5853253331,0.3853003747,9.3052734138,0.049391776,0.4809929986,False,0.0052082603903428,0.036600158395841
WO_INV_0053,PPG700:100,1.9,0.4044960547863629,2.5220978361,0.3232095071,7.8032909953,0.0516340721,0.5510647528,False,0.0338227451655971,0.0803916322680886
WO_INV_0471,PPG1000:80+PPG700:20,2.1,0.3632884876191446,3.5906044124,0.4012485741,8.9485786232,0.04875885,0.4612140638,True,0.0024040654790162,0.0282424183323682
WO_INV_0054,PPG700:100,2.0,0.4169096209912536,2.4570248117,0.310536281,7.9121988697,0.0502340721,0.5073147528,False,0.0413346055456076,0.0878952127210161
WO_INV_0323,PPG1000:80+PPG400:20,1.7,0.3561067639374715,3.1446877829,0.3929059763,8.0036649289,0.0543919292,0.6372477878,False,0.0030977967844952,0.0310098207985412
WO_INV_0661,PPG2000:20+PPG700:80,1.9,0.3714437465724041,3.3129112948,0.3875015725,8.5494138076,0.0525654941,0.5801716892,False,0.0024194398054454,0.0296791874679199
WO_INV_0488,PPG1000:90+PPG700:10,2.2,0.3647345066686995,3.68028081,0.4010247813,9.1771904921,0.047991776,0.4372429986,True,0.003829793328641,0.0321954755100515
WO_INV_0644,PPG2000:10+PPG700:90,1.8,0.3756526381017343,2.9907488011,0.3693458485,8.0974209213,0.0550978506,0.6593078301,False,0.0079388263384553,0.0406931260113533
WO_INV_0309,PPG1000:70+PPG400:30,1.9,0.4080874491602611,2.5773788533,0.3245685441,7.9409385168,0.0533080546,0.6033767068,False,0.0306215727626316,0.0764181377447002
WO_INV_0308,PPG1000:70+PPG400:30,1.8,0.3950951288522989,2.6456393918,0.3378144377,7.8316350541,0.0547080546,0.6471267068,False,0.0242291753782828,0.0698623682327055
WO_INV_0586,PPG2000:60+PPG400:40,2.4,0.4384483203989263,2.867027377,0.3096937763,9.2576202584,0.0525919292,0.5809977878,False,0.0287720927729507,0.080166765330478
WO_INV_0667,PPG2000:20+PPG700:80,2.5,0.4374318765162969,2.8320145688,0.3048195332,9.2907909784,0.0525654941,0.5801716892,False,0.0318013728018969,0.0847738160225137
WO_INV_0649,PPG2000:10+PPG700:90,2.3,0.4346461556291928,2.6243273125,0.3023948047,8.6784801576,0.0508978506,0.5280578301,False,0.0373335489711315,0.0858082412668927
WO_INV_0310,PPG1000:70+PPG400:30,2.0,0.4205333990062148,2.5108795151,0.3118420295,8.0517674908,0.0519080546,0.5596267068,False,0.0379477471100782,0.0838377660638605
WO_INV_0581,PPG2000:60+PPG400:40,1.9,0.3819979080629188,3.2673358425,0.3782608325,8.6377852574,0.0539919292,0.6247477878,False,0.0038488716039611,0.0350565019986025
WO_INV_0341,PPG1000:90+PPG400:10,1.9,0.3535024409323465,3.5061183527,0.4101864425,8.5476212509,0.051374832,0.5429635,True,0.0006441258000832,0.0225382531791743
WO_INV_0679,PPG2000:30+PPG700:70,2.1,0.3766960684325386,3.5682489952,0.3911230923,9.1230844332,0.050254832,0.5079635,False,0.0037447758440579,0.0333560788034201
WO_INV_0009,PPG1000:100,2.3,0.3653110769084302,3.7614674009,0.4005383162,9.3910301438,0.0493312658,0.4791020574,False,0.005536190225401,0.0380509625775142
WO_INV_0643,PPG2000:10+PPG700:90,1.7,0.3623450398813324,3.0699572278,0.3844191386,7.9859635483,0.0564978506,0.7030578301,False,0.0048612127631881,0.0370369829552689
WO_INV_0470,PPG1000:80+PPG700:20,2.0,0.352079823765712,3.685699703,0.417623839,8.8254054456,0.05015885,0.5049640638,True,0.0018564413712887,0.0270464637338635
WO_INV_0660,PPG2000:20+PPG700:80,1.8,0.3589106609951629,3.4006520275,0.4033158117,8.4317349549,0.0539654941,0.6239216892,True,0.0007906704211501,0.0248301635979896
WO_INV_0565,PPG2000:50+PPG400:50,1.9,0.4163012469264612,2.678912366,0.3260566272,8.2160954349,0.0562408357,0.6950261148,False,0.0259522776763886,0.0712834273370512
WO_INV_0566,PPG2000:50+PPG400:50,2.0,0.428816221619306,2.6097933464,0.313271764,8.3307646802,0.0548408357,0.6512761148,False,0.0330065360758694,0.0812195454571565
WO_INV_0008,PPG1000:100,2.2,0.3550675566734385,3.8610879089,0.4168845949,9.2617668191,0.0479312658,0.4353520574,True,0.0051679137871037,0.0346262058956018
WO_INV_0580,PPG2000:60+PPG400:40,1.8,0.3693179488958334,3.3538695331,0.3936979499,8.5188900112,0.0553919292,0.6684977878,False,0.0016655583283342,0.0296318116587664
WO_INV_0564,PPG2000:50+PPG400:50,1.8,0.4032255658167605,2.7498619669,0.3393632506,8.1030045603,0.0576408357,0.7387761148,False,0.0198317962526839,0.0633512287461179
WO_INV_0487,PPG1000:90+PPG700:10,2.1,0.3540249895432795,3.7777511334,0.4173909131,9.0508705744,0.049391776,0.4809929986,True,0.003385103254985,0.0312092997918839
WO_INV_0567,PPG2000:50+PPG400:50,2.1,0.4408057988438659,2.5424576771,0.3009882024,8.4470343252,0.0534408357,0.6075261148,False,0.0409945714791554,0.0918846880664573
WO_INV_0678,PPG2000:30+PPG700:70,2.0,0.3653110769084303,3.6627522142,0.4070851285,8.9975092613,0.051654832,0.5517135,False,0.0026489351496387,0.0316534668422102
WO_INV_0563,PPG2000:50+PPG400:50,1.7,0.3895506329596874,2.822690631,0.3532129275,7.991470331,0.0590408357,0.7825261148,False,0.0146450918398453,0.0577472440762677
WO_INV_0579,PPG2000:60+PPG400:40,1.7,0.3561067639374715,3.4426950235,0.4097650681,8.4016313049,0.0567919292,0.7122477878,True,0.000416022035072,0.0249361457691009
WO_INV_0677,PPG2000:30+PPG700:70,1.9,0.3535024409323465,3.7597583018,0.4236985878,8.8736625753,0.053054832,0.5954635,True,0.0024868714413723,0.030807026077419
WO_INV_0599,PPG2000:70+PPG400:30,2.1,0.3663175604493442,3.8817579476,0.4138945362,9.3786160676,0.0516734153,0.5522942273,False,0.0060725367812976,0.0406790953100625
WO_INV_0695,PPG2000:40+PPG700:60,2.1,0.3571426275509385,4.0573400944,0.4291450315,9.4544729559,0.0515779558,0.54931112,True,0.0086184752291581,0.0452391780464658
WO_INV_0598,PPG2000:70+PPG400:30,2.0,0.3550675566734384,3.9845642882,0.4307858927,9.2495236171,0.0530734153,0.5960442273,False,0.0065165204222797,0.0419961733902079
