source_candidate_id,blend,nco_oh,mdi_parts,PPG400,PPG700,PPG1000,PPG2000,mdi_fraction_total
WO_INV_0146,PPG1000:60+PPG2000:40,1.6,32.032,0,0,60,40,0.2426078526
WO_INV_0147,PPG1000:60+PPG2000:40,1.7,34.034,0,0,60,40,0.253920647
WO_INV_0148,PPG1000:60+PPG2000:40,1.8,36.036,0,0,60,40,0.2649004675
WO_INV_0149,PPG1000:60+PPG2000:40,1.9,38.038,0,0,60,40,0.2755618018
WO_INV_0150,PPG1000:60+PPG2000:40,2,40.04,0,0,60,40,0.2859183091
WO_INV_0151,PPG1000:60+PPG2000:40,2.1,42.042,0,0,60,40,0.2959828783
WO_INV_0152,PPG1000:60+PPG2000:40,2.2,44.044,0,0,60,40,0.3057676821
WO_INV_0153,PPG1000:60+PPG2000:40,2.3,46.046,0,0,60,40,0.3152842255
WO_INV_0154,PPG1000:60+PPG2000:40,2.4,48.048,0,0,60,40,0.3245433913
WO_INV_0155,PPG1000:60+PPG2000:40,2.5,50.05,0,0,60,40,0.3335554815
WO_INV_0156,PPG1000:60+PPG2000:40,2.6,52.052,0,0,60,40,0.3423302554
WO_INV_0157,PPG1000:60+PPG2000:40,2.7,54.054,0,0,60,40,0.3508769652
WO_INV_0158,PPG1000:60+PPG2000:40,2.8,56.056,0,0,60,40,0.3592043882
WO_INV_0159,PPG1000:60+PPG2000:40,2.9,58.058,0,0,60,40,0.3673208569
WO_INV_0160,PPG1000:60+PPG2000:40,3,60.06,0,0,60,40,0.3752342871
WO_INV_0161,PPG1000:70+PPG2000:30,1.5,31.906875,0,0,70,30,0.2418894011
WO_INV_0162,PPG1000:70+PPG2000:30,1.6,34.034,0,0,70,30,0.253920647
WO_INV_0163,PPG1000:70+PPG2000:30,1.7,36.161125,0,0,70,30,0.2655759858
WO_INV_0164,PPG1000:70+PPG2000:30,1.8,38.28825,0,0,70,30,0.276872764
WO_INV_0165,PPG1000:70+PPG2000:30,1.9,40.415375,0,0,70,30,0.2878272767
WO_INV_0166,PPG1000:70+PPG2000:30,2,42.5425,0,0,70,30,0.2984548468
WO_INV_0167,PPG1000:70+PPG2000:30,2.1,44.669625,0,0,70,30,0.3087698955
WO_INV_0168,PPG1000:70+PPG2000:30,2.2,46.79675,0,0,70,30,0.3187860085
WO_INV_0169,PPG1000:70+PPG2000:30,2.3,48.923875,0,0,70,30,0.3285159952
WO_INV_0170,PPG1000:70+PPG2000:30,2.4,51.051,0,0,70,30,0.3379719433
WO_INV_0171,PPG1000:70+PPG2000:30,2.5,53.178125,0,0,70,30,0.3471652692
WO_INV_0172,PPG1000:70+PPG2000:30,2.6,55.30525,0,0,70,30,0.3561067639
WO_INV_0173,PPG1000:70+PPG2000:30,2.7,57.432375,0,0,70,30,0.3648066352
WO_INV_0174,PPG1000:70+PPG2000:30,2.8,59.5595,0,0,70,30,0.3732745465
WO_INV_0175,PPG1000:70+PPG2000:30,2.9,61.686625,0,0,70,30,0.3815196526
WO_INV_0176,PPG1000:70+PPG2000:30,3,63.81375,0,0,70,30,0.389550633
WO_INV_0177,PPG1000:80+PPG2000:20,1.5,33.78375,0,0,80,20,0.2525250638
WO_INV_0178,PPG1000:80+PPG2000:20,1.6,36.036,0,0,80,20,0.2649004675
WO_INV_0179,PPG1000:80+PPG2000:20,1.7,38.28825,0,0,80,20,0.276872764
WO_INV_0180,PPG1000:80+PPG2000:20,1.8,40.5405,0,0,80,20,0.2884613332
WO_INV_0181,PPG1000:80+PPG2000:20,1.9,42.79275,0,0,80,20,0.2996843327
WO_INV_0182,PPG1000:80+PPG2000:20,2,45.045,0,0,80,20,0.3105587921
WO_INV_0183,PPG1000:80+PPG2000:20,2.1,47.29725,0,0,80,20,0.3211006994
WO_INV_0184,PPG1000:80+PPG2000:20,2.2,49.5495,0,0,80,20,0.3313250797
WO_INV_0185,PPG1000:80+PPG2000:20,2.3,51.80175,0,0,80,20,0.341246066
WO_INV_0186,PPG1000:80+PPG2000:20,2.4,54.054,0,0,80,20,0.3508769652
WO_INV_0187,PPG1000:80+PPG2000:20,2.5,56.30625,0,0,80,20,0.3602303171
WO_INV_0188,PPG1000:80+PPG2000:20,2.6,58.5585,0,0,80,20,0.3693179489
WO_INV_0189,PPG1000:80+PPG2000:20,2.7,60.81075,0,0,80,20,0.3781510254
WO_INV_0190,PPG1000:80+PPG2000:20,2.8,63.063,0,0,80,20,0.3867400943
WO_INV_0191,PPG1000:80+PPG2000:20,2.9,65.31525,0,0,80,20,0.3950951289
WO_INV_0192,PPG1000:80+PPG2000:20,3,67.5675,0,0,80,20,0.4032255658
WO_INV_0193,PPG1000:90+PPG2000:10,1.5,35.660625,0,0,90,10,0.262866436
WO_INV_0194,PPG1000:90+PPG2000:10,1.6,38.038,0,0,90,10,0.2755618018
WO_INV_0195,PPG1000:90+PPG2000:10,1.7,40.415375,0,0,90,10,0.2878272767
WO_INV_0196,PPG1000:90+PPG2000:10,1.8,42.79275,0,0,90,10,0.2996843327
WO_INV_0197,PPG1000:90+PPG2000:10,1.9,45.170125,0,0,90,10,0.3111530351
WO_INV_0198,PPG1000:90+PPG2000:10,2,47.5475,0,0,90,10,0.3222521561
WO_INV_0199,PPG1000:90+PPG2000:10,2.1,49.924875,0,0,90,10,0.3329992771
WO_INV_0200,PPG1000:90+PPG2000:10,2.2,52.30225,0,0,90,10,0.343410882
WO_INV_0201,PPG1000:90+PPG2000:10,2.3,54.679625,0,0,90,10,0.3535024409
WO_INV_0202,PPG1000:90+PPG2000:10,2.4,57.057,0,0,90,10,0.3632884876
WO_INV_0203,PPG1000:90+PPG2000:10,2.5,59.434375,0,0,90,10,0.3727826888
