cid,blend,nco_oh,nominal_rank,robust_rank,property_score,robust_score
WO_INV_0666,PPG2000:20+PPG700:80,2.4,97.0,96.0,0.024569941513805208,0.07153044313315199
WO_INV_0443,PPG1000:60+PPG700:40,2.5,98.0,94.0,0.02478787787614146,0.0712791443079698
WO_INV_0460,PPG1000:70+PPG700:30,2.6,99.0,100.0,0.02486246777231319,0.07517474703498808
WO_INV_0328,PPG1000:80+PPG400:20,2.2,100.0,85.0,0.025048259005107137,0.06361670778126292
WO_INV_0426,PPG1000:50+PPG700:50,2.4,101.0,92.0,0.02507670823006985,0.06784898381532617
WO_INV_0409,PPG1000:40+PPG700:60,2.3,102.0,88.0,0.02574197955588116,0.06613704682887274
WO_INV_0565,PPG2000:50+PPG400:50,1.9,103.0,95.0,0.02595227767638862,0.07128342733705127
WO_INV_0392,PPG1000:30+PPG700:70,2.2,104.0,86.0,0.026813732842562638,0.0648114022786835
WO_INV_0052,PPG700:100,1.8,106.0,99.0,0.027244661801243197,0.07375191069807206
WO_INV_0348,PPG1000:90+PPG400:10,2.6,107.0,109.0,0.02826209977821681,0.0805888848224861
WO_INV_0375,PPG1000:20+PPG700:80,2.1,108.0,89.0,0.02835226554767958,0.06694094283479858
WO_INV_0586,PPG2000:60+PPG400:40,2.4,109.0,107.0,0.028772092772950706,0.08016676533047802
WO_INV_0648,PPG2000:10+PPG700:90,2.2,110.0,98.0,0.02958705046770614,0.07227725552542046
WO_INV_0358,PPG1000:10+PPG700:90,2.0,111.0,97.0,0.030490807244212506,0.07182206442291088
WO_INV_0309,PPG1000:70+PPG400:30,1.9,112.0,102.0,0.03062157276263166,0.07641813774470027
WO_INV_0667,PPG2000:20+PPG700:80,2.5,114.0,114.0,0.031801372801896995,0.08477381602251374
WO_INV_0444,PPG1000:60+PPG700:40,2.6,115.0,113.0,0.03203816338514295,0.084476745718919
WO_INV_0329,PPG1000:80+PPG400:20,2.3,116.0,101.0,0.03223968243710684,0.07633513590307292
WO_INV_0427,PPG1000:50+PPG700:50,2.5,117.0,110.0,0.032385181367332774,0.08087298139225303
WO_INV_0566,PPG2000:50+PPG400:50,2.0,119.0,111.0,0.033006536075869466,0.08121954545715651
WO_INV_0410,PPG1000:40+PPG700:60,2.4,120.0,105.0,0.0330936906799169,0.07907965238524131
WO_INV_0053,PPG700:100,1.9,122.0,108.0,0.03382274516559713,0.08039163226808865
WO_INV_0393,PPG1000:30+PPG700:70,2.3,123.0,104.0,0.03419691897133274,0.07765730150137386
WO_INV_0376,PPG1000:20+PPG700:80,2.2,124.0,103.0,0.035760366800376926,0.07668721852148694
WO_INV_0649,PPG2000:10+PPG700:90,2.3,125.0,115.0,0.03733354897113155,0.08580824126689271
WO_INV_0359,PPG1000:10+PPG700:90,2.1,127.0,106.0,0.037927304650095216,0.0794810228032628
WO_INV_0310,PPG1000:70+PPG400:30,2.0,128.0,112.0,0.03794774711007829,0.08383776606386055
WO_INV_0567,PPG2000:50+PPG400:50,2.1,131.0,117.0,0.040994571479155424,0.09188468806645739
WO_INV_0054,PPG700:100,2.0,132.0,116.0,0.04133460554560761,0.0878952127210161
