cid,blend,nco_oh,mdi_parts,eta80,eta120,ratio,domain_ratio,unc_radius,in_domain,mdi_fraction,PPG1000,PPG2000,PPG400,PPG700,property_score,broad_margin,ea_two_point_kj_mol,check_nco_oh,check_mdi_fraction,check_eta80_broad,check_eta120_broad,check_ratio_broad,check_eta80_preferred,check_eta120_preferred,check_ratio_preferred,check_chemistry_in_domain,feasible_nominal,property_rank,nominal_rank,robust_check_interval_inside_broad,robust_check_domain_ratio_max,feasible_robust,robust_score,robust_rank
WO_INV_0144,PPG1000:50+PPG2000:50,3.0,56.306250000000006,5.1006940439,0.4251217544,11.9981957899,1.001635744,0.0660523438,False,0.3602303170858491,50.0,50.0,0.0,0.0,0.05576038063606405,0.08019306981902385,71.70929991284457,True,True,True,True,True,True,True,False,False,False,366.0,,False,False,False,0.14832361743210679,
WO_INV_0798,PPG400:10+PPG700:90,2.8,107.6075,1.8202133222,0.2101119003,8.6630662973,0.7403321891,0.0576906301,True,0.5183218332671026,0.0,0.0,10.0,90.0,0.1729409179867454,0.2724664321363545,62.310057642053856,True,False,True,True,True,False,False,True,True,False,632.0,,True,True,False,0.2666362148835777,
WO_INV_0242,PPG1000:30+PPG400:70,1.6,82.08200000000001,1.7085020202,0.2543997109,6.7158174588,0.9046866027,0.0629499713,True,0.45079689370723086,30.0,0.0,70.0,0.0,0.15178898935359444,0.1127060895702078,54.96228850188276,True,True,True,True,True,False,False,False,True,False,596.0,,False,True,False,0.2636347994802,
WO_INV_0812,PPG400:20+PPG700:80,2.6,106.8925,1.7542036536,0.2126552677,8.2490486708,0.6859533103,0.0559505059,True,0.5166572012035237,0.0,0.0,20.0,80.0,0.178395822620663,0.2844985778495738,60.89677388504018,True,False,True,True,True,False,False,True,True,False,641.0,,True,True,False,0.2651314590505881,
WO_INV_0727,PPG2000:60+PPG700:40,2.1,45.79575,5.331683387,0.5256553243,10.1429266293,0.6441893612,0.0546140596,True,0.31410895036377945,0.0,60.0,0.0,40.0,0.05203882781498538,0.24817277872294474,66.86145733712141,True,False,True,True,True,True,True,False,True,False,350.0,,False,True,False,0.12105828314358828,
WO_INV_0263,PPG1000:40+PPG400:60,2.1,99.84975,1.6764798788,0.226039382,7.4167601416,0.6486191259,0.054755812,True,0.4996240925995654,40.0,0.0,60.0,0.0,0.17695864394505437,0.21198285399846067,57.82738529170033,True,False,True,True,True,False,False,True,True,False,638.0,,False,True,False,0.2686316012846301,
WO_INV_0865,PPG400:60+PPG700:40,1.5,77.75625000000001,1.6953048671,0.2595844807,6.5308406049,0.931043517,0.0637933925,True,0.4374318765162969,0.0,0.0,60.0,40.0,0.1522568674680053,0.08477619546904994,54.15624037315446,True,True,True,True,True,False,False,False,True,False,599.0,,False,True,False,0.26833099398446464,
WO_INV_0167,PPG1000:70+PPG2000:30,2.1,44.669625,5.3552779489,0.5319251146,10.0677290875,0.6339168103,0.0542853379,True,0.30876989554649087,70.0,30.0,0.0,0.0,0.05313683721460545,0.25561418882424003,66.64670053697687,True,False,True,True,True,True,True,False,True,False,356.0,,True,True,False,0.12169932583323609,
WO_INV_0749,PPG2000:70+PPG700:30,2.7,52.606125000000006,5.2947154366,0.4633958385,11.4259019981,0.8745243345,0.0619847787,True,0.3447183066865763,0.0,70.0,0.0,30.0,0.05621238092654849,0.12906647429214596,70.29882853453475,True,False,True,True,True,True,True,False,True,False,367.0,,False,True,False,0.1429513383489439,
WO_INV_0143,PPG1000:50+PPG2000:50,2.9,54.42937500000001,5.235783273,0.4424713023,11.8330459975,0.957885744,0.0646523438,True,0.35245480336885393,50.0,50.0,0.0,0.0,0.05801314050367901,0.09405323184449495,71.3092999140124,True,True,True,True,True,True,True,False,True,False,370.0,,False,True,False,0.1502288891968921,
WO_INV_0826,PPG400:30+PPG700:70,2.4,105.105,1.6969526237,0.2159673801,7.8574487645,0.6294811323,0.0541433962,True,0.5124448453231272,0.0,0.0,30.0,70.0,0.18342580550271012,0.26970249985484357,59.4931564613552,True,False,True,True,True,False,False,True,True,False,645.0,,True,True,False,0.27001839791868,
WO_INV_0514,PPG2000:20+PPG400:80,1.6,84.08400000000002,1.7370029385,0.2539381939,6.8402586924,0.9915211633,0.0657286772,True,0.4567697355555074,0.0,20.0,80.0,0.0,0.14647342681044914,0.13106608221754174,55.4921522275316,True,True,True,True,True,False,False,False,True,False,588.0,,False,True,False,0.26141487117659024,
WO_INV_0154,PPG1000:60+PPG2000:40,2.4,48.048,5.4337071993,0.5044762735,10.7709866347,0.7074401986,0.0566380864,True,0.3245433913325408,60.0,40.0,0.0,0.0,0.05778021281936754,0.18809326095338932,68.59533368313959,True,False,True,True,True,True,True,False,True,False,369.0,,False,True,False,0.1348659655662075,
WO_INV_0853,PPG400:50+PPG700:50,1.9,93.396875,1.647231057,0.2339656533,7.0404823677,0.7299607241,0.0573587432,True,0.4829285633493302,0.0,0.0,50.0,50.0,0.17627550358747074,0.15991721673384018,56.32478706852707,True,True,True,True,True,False,False,True,True,False,636.0,,False,True,False,0.27754986192059655,
WO_INV_0840,PPG400:40+PPG700:60,2.2,102.24500000000002,1.6475228797,0.220025062,7.4878873549,0.5711645981,0.0522772671,True,0.505550199016045,0.0,0.0,40.0,60.0,0.1880313718178907,0.22152722641795017,58.10283293944665,True,False,True,True,True,False,False,True,True,False,655.0,,False,True,False,0.2759262046215777,
WO_INV_0707,PPG2000:50+PPG700:50,1.7,41.02312499999999,5.1455009079,0.5554315944,9.2639687039,0.7694625894,0.0586228029,True,0.2908964398569383,0.0,50.0,0.0,50.0,0.04566720243988698,0.33881681488574006,64.24549841669054,True,False,True,True,True,True,True,True,True,False,326.0,,True,True,False,0.1129275152914886,
WO_INV_0194,PPG1000:90+PPG2000:10,1.6,38.038,5.0440479141,0.5692130123,8.8614416837,0.7980427329,0.0595373675,True,0.27556180182268647,90.0,10.0,0.0,0.0,0.04363995719620823,0.34035700103187294,62.96346223479332,True,False,True,True,True,True,True,True,True,False,316.0,,True,True,False,0.10791939385006194,
WO_INV_0243,PPG1000:30+PPG400:70,1.7,87.212125,1.6644207034,0.2444245556,6.8095478354,0.8609366027,0.0615499713,True,0.46584656308986394,30.0,0.0,70.0,0.0,0.16596880781999412,0.1265662515777295,55.362288495952114,True,True,True,True,True,False,False,False,True,False,620.0,,False,True,False,0.2768641301209407,
WO_INV_0866,PPG400:60+PPG700:40,1.6,82.94,1.6515640521,0.2494060277,6.6219893226,0.887293517,0.0623933925,True,0.45337269049961737,0.0,0.0,60.0,40.0,0.16606269354568687,0.09863635748253145,54.55624036495043,True,True,True,True,True,False,False,False,True,False,621.0,,False,True,False,0.28114748587320904,
WO_INV_0142,PPG1000:50+PPG2000:50,2.8,52.5525,5.3744502702,0.4605288987,11.6701694181,0.914135744,0.0632523438,True,0.3444879631602235,50.0,50.0,0.0,0.0,0.06119967736201226,0.1079133938648496,70.90929991462549,True,False,True,True,True,True,True,False,True,False,386.0,,False,True,False,0.15299801981242717,
WO_INV_0748,PPG2000:70+PPG700:30,2.6,50.65775000000001,5.4349432214,0.4823073814,11.2686295736,0.8307743345,0.0605847787,True,0.3362439038151041,0.0,70.0,0.0,30.0,0.06038954699706735,0.14292663630677638,69.89882853588307,True,False,True,True,True,True,True,False,True,False,382.0,,False,True,False,0.1466822501484783,
WO_INV_0180,PPG1000:80+PPG2000:20,1.8,40.5405,5.2741171277,0.5614430127,9.3938601226,0.737095713,0.0575870628,True,0.28846133320999995,80.0,20.0,0.0,0.0,0.05125061998050403,0.3248930600463654,64.64733368235709,True,False,True,True,True,True,True,True,True,False,347.0,,True,True,False,0.12013099359388861,
WO_INV_0515,PPG2000:20+PPG400:80,1.7,89.33925,1.6921862653,0.2439811349,6.935725853,0.9477711633,0.0643286772,True,0.47184749068140924,0.0,20.0,80.0,0.0,0.16061350149997866,0.14492624423836264,55.89215222750663,True,True,True,True,True,False,False,False,True,False,611.0,,False,True,False,0.27471306584842864,
WO_INV_0613,PPG2000:80+PPG400:20,1.9,42.79275,5.321079339,0.5482622111,9.7053549037,0.738345713,0.0576270628,True,0.29968433271297035,0.0,80.0,20.0,0.0,0.05219449456566402,0.29227157234897183,65.58877975575555,True,False,True,True,True,True,True,False,True,False,351.0,,True,True,False,0.12365683496438595,
WO_INV_0302,PPG1000:60+PPG400:40,2.8,112.112,1.7801263402,0.20461947,8.6996918715,0.7829716602,0.0590550931,True,0.5285509542128687,60.0,0.0,40.0,0.0,0.18572849544016762,0.24597819504647334,62.43181299497384,True,False,True,True,True,False,False,True,True,False,651.0,,True,True,False,0.2850570988476375,
WO_INV_0283,PPG1000:50+PPG400:50,2.5,109.484375,1.6986199103,0.2101271567,8.0837714513,0.6957311323,0.0562633962,True,0.5226374282091445,50.0,0.0,50.0,0.0,0.19003891646278565,0.27253904033282084,60.31267237534916,True,False,True,True,True,False,False,True,True,False,657.0,,True,True,False,0.27925401990020504,
WO_INV_0537,PPG2000:30+PPG400:70,2.3,109.35925,1.7011236006,0.2152371205,7.9034861503,0.7236191259,0.057155812,True,0.5223521291750902,0.0,30.0,70.0,0.0,0.18355173847901002,0.2755444777554982,59.661754140252775,True,False,True,True,True,False,False,True,True,False,646.0,,True,True,False,0.2754614371987673,
